location,date_time,temperature,precipitation,wind_speed
Rome,2025-02-28 10:00:00,12.7,0.11,1.4
Rome,2025-02-28 11:00:00,13.5,0.11,2.2
Rome,2025-02-28 12:00:00,14.2,0.11,3.0
Rome,2025-02-28 13:00:00,14.2,0.16,2.7
Rome,2025-02-28 14:00:00,14.2,0.16,2.5
Rome,2025-02-28 15:00:00,14.1,0.16,2.2
Rome,2025-02-28 16:00:00,12.9,0.0,1.8
Rome,2025-02-28 17:00:00,11.6,0.0,1.3
Rome,2025-02-28 18:00:00,10.4,0.0,0.9
Rome,2025-02-28 19:00:00,9.6,0.0,1.0
Rome,2025-02-28 20:00:00,8.8,0.0,1.1
Rome,2025-02-28 21:00:00,8.0,0.0,1.3
Rome,2025-02-28 22:00:00,7.8,0.27,1.2
Rome,2025-02-28 23:00:00,7.7,0.27,1.1
Rome,2025-03-01 00:00:00,7.5,0.27,1.1
Rome,2025-03-01 01:00:00,7.3,2.97,1.2
Rome,2025-03-01 02:00:00,7.2,2.97,1.3
Rome,2025-03-01 03:00:00,7.0,2.97,1.5
Rome,2025-03-01 04:00:00,6.9,0.24,1.5
Rome,2025-03-01 05:00:00,6.8,0.24,1.5
Rome,2025-03-01 06:00:00,6.8,0.24,1.5
Rome,2025-03-01 07:00:00,8.5,0.23,1.3
Rome,2025-03-01 08:00:00,10.2,0.23,1.1
Rome,2025-03-01 09:00:00,11.9,0.23,1.0
Rome,2025-03-01 10:00:00,12.8,0.15,1.5
Rome,2025-03-01 11:00:00,13.7,0.15,2.0
Rome,2025-03-01 12:00:00,14.5,0.15,2.5
Rome,2025-03-01 13:00:00,14.0,0.36,2.3
Rome,2025-03-01 14:00:00,13.4,0.36,2.1
Rome,2025-03-01 15:00:00,12.8,0.36,1.9
Rome,2025-03-01 16:00:00,12.1,0.37,1.9
Rome,2025-03-01 17:00:00,11.5,0.37,1.9
Rome,2025-03-01 18:00:00,10.8,0.37,1.9
Rome,2025-03-01 19:00:00,10.4,0.15,2.1
Rome,2025-03-01 20:00:00,10.1,0.15,2.2
Rome,2025-03-01 21:00:00,9.7,0.15,2.4
Rome,2025-03-01 22:00:00,9.5,0.42,2.4
Rome,2025-03-01 23:00:00,9.4,0.42,2.3
Rome,2025-03-02 00:00:00,9.2,0.42,2.2
Rome,2025-03-02 01:00:00,9.1,1.62,2.9
Rome,2025-03-02 02:00:00,9.0,1.62,3.6
Rome,2025-03-02 03:00:00,9.0,1.62,4.3
Rome,2025-03-02 04:00:00,8.9,1.8,4.4
Rome,2025-03-02 05:00:00,8.8,1.8,4.4
Rome,2025-03-02 06:00:00,8.7,1.8,4.4
Rome,2025-03-02 07:00:00,9.7,0.22,4.1
Rome,2025-03-02 08:00:00,10.7,0.22,3.8
Rome,2025-03-02 09:00:00,11.7,0.22,3.5
Rome,2025-03-02 10:00:00,13.0,0.0,2.8
